CUSID,DEPOSIT INCOME,LOAN INCOME,TOTAL_PRODUCT_COUNT,DEPOSIT_PRODUCT_COUNT,LOAN_PRODUCT_COUNT,DEPOSIT_BALANCE,COUNT_TRANSACTION_CURRENT,AMOUNT_TRANSACTION_CURRENT,MONTHS_REMAIN_MIN,MONTHS_REMAIN_MAX,COUNT_LOANTRANS_CURRENT,AMOUNT_LOANTRANS_CURRENT,AGE_MONTHS,TENURE_MONTHS,MONTHS_LAST_ACTIVE,CNT_LN_TOTFSI,LOAN_BALANCE,AGE_MONTHS,TENURE_MONTHS,LOAN_AMOUNT
917171,0,7.37826,1,0,1,,1,7.37826,6,6,1,7.37826,648,90,,7,491.884,,90,491.8851251
917172,0,0,1,1,0,9.83768,,,,,,,600,10,10,,,600,10,
917173,0,8.116086,1,0,1,,1,32.710286,8,8,1,8.116086,749,89,,3,516.4782,,89,614.8564064
917174,0,8.116086,1,0,1,,1,32.710286,8,8,1,8.116086,702,61,,4,516.4782,,61,614.8564064
917175,0,8.853912,1,0,1,,1,8.853912,8,8,1,8.853912,602,41,,4,590.2608,,41,614.8564064
917176,0,2.7545504,1,0,1,,1,24.5942,8,8,1,2.7545504,841,90,,2,160.2804014,,90,245.9425626
917177,0,15.0270562,3,1,2,,1,97.1716842,11,11,2,97.1716842,482,41,,,899.655836,,41,1967.540501
917178,0,9.1244482,2,1,1,3.68913,1,9.1244482,9,9,1,9.1244482,445,41,,1,607.47674,,41,614.8564064
917179,0.991884,0,1,1,0,7.3515648,2,0.991884,,,,,684,99,,,,684,99,
917180,0,8.484999,1,0,1,,1,33.079199,8,8,1,8.484999,625,90,,2,541.0724,,90,614.8564064
917181,0,7.4520426,1,0,1,,1,504.2548826,13,13,1,504.2548826,604,49,,8,541.0724,,49,541.0736377
917182,0,8.484999,1,0,1,,1,33.079199,9,9,1,8.484999,689,96,,3,541.0724,,96,614.8564064
917183,0.983768,153.79,3,2,1,14.4833028,2,821.773768,21,21,1,820.79,749,95,,,13997,749,95,20000
917184,0.983768,0,1,1,0,11.190361,1,0.983768,,,,,769,88,,,,769,88,
917185,0,0,1,1,0,0.57,,,,,,,563,93,7,,,563,93,
917186,0,9.222825,1,0,1,,1,9.222825,6,6,1,9.222825,461,30,,6,614.855,,30,614.8564064
917187,0,33.02,4,3,1,127.23,2,129.81,25,25,1,117.02,581,77,,,2076,581,77,3000
917188,0,99.77,2,1,1,7.5,1,309,33,33,1,308.77,668,43,,,6865,668,43,10000
917189,0,227.19,2,1,1,53.26,1,562,53,53,1,561.19,494,93,,3,17662,494,93,20000
917190,0,8.484999,1,0,1,,1,33.079199,9,9,1,8.484999,688,28,,1,541.0724,,28,614.8564064
917191,0,8.484999,1,0,1,,1,33.079199,9,9,1,8.484999,457,88,,5,541.0724,,88,614.8564064
917192,0,8.484999,1,0,1,,1,33.079199,9,9,1,8.484999,696,88,,3,541.0724,,88,614.8564064
917193,0,7.37826,1,0,1,,1,31.97246,9,9,1,7.37826,461,88,,4,467.2898,,88,541.0736377
917194,0,7.8209556,1,0,1,,1,529.2179956,13,13,1,529.2179956,700,83,,8,368.913,,83,368.9138439
917195,0,430.74826,5,2,3,9.08,2,867.97246,9,59,3,842.74826,527,62,,5,19823.2898,,62,22941.07364
917196,0,3.320217,1,0,1,,1,27.914417,9,9,1,3.320217,888,88,,4,196.7536,,88,245.9425626
917197,0,5.7304486,1,0,1,,1,47.5405886,4,4,1,5.7304486,604,88,,,339.39996,,88,614.8564064
917198,0,6.640434,1,0,1,,1,31.234634,4,4,1,6.640434,648,88,,,418.1014,,88,614.8564064
917199,0,6.640434,5,2,3,724.49,2,674.234634,4,60,1,6.640434,700,88,,6,17418.1014,,88,15614.85641
917200,0,6.271521,1,0,1,,1,30.865721,4,4,1,6.271521,652,88,,,393.5072,,88,614.8564064
917201,0,6.640434,1,0,1,,1,31.234634,4,4,1,6.640434,665,88,,,418.1014,,88,614.8564064
917202,0,37.69,2,1,1,2.8591884,2,333.69,9,9,5,334.69,550,43,,,2654,550,43,8000
917203,0,0,1,1,0,74.028542,,,,,,,613,84,9,,,613,84,
917204,0,0,1,1,0,,,,,,,,481,87,8,,,481,87,
917205,0,6.640434,2,1,1,4.91884,1,31.234634,4,4,1,6.640434,689,88,,,418.1014,,88,614.8564064
917206,0,2.951304,1,0,1,,1,27.545504,4,4,1,2.951304,716,88,,,172.1594,,88,368.9138439
917207,0,0.5902608,1,0,1,,1,12.8873608,4,4,1,0.5902608,773,88,,,27.05362,,88,122.9712813
917208,0,66.82565,3,1,2,2.97,2,243.31115,18,29,2,243.31115,723,19,,3,4421.739,723,19,4775.655375
917209,0,80.4968166,3,1,2,,2,189.2031806,4,53,2,164.6089806,560,49,,3,4871.127252,,49,5656.678939
917210,0,6.640434,1,0,1,,1,31.234634,9,9,1,6.640434,664,88,,3,418.1014,,88,491.8851251
